Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
current:3.3v:tl,400000,409999,-577.0,439.0
voltage:3.3v:tl,400000,409999,24.0,32.0
power:tot:tl,400000,409999,-16.0,13.0
power:3.3v:tl,400000,409999,-16.0,12.0
voltage:vio_1v8:tl,410000,419999,-5.0,0.0
current:vio_1v8:tl,410000,419999,-1029.0,483.0
power:vio_1v8:tl,410000,419999,-1.0,2.0
current:3.3v:tl,410000,419999,-558.0,465.0
voltage:3.3v:tl,410000,419999,24.0,32.0
power:tot:tl,410000,419999,-16.0,13.0
power:3.3v:tl,410000,419999,-16.0,13.0
voltage:vio_1v8:tl,420000,429999,-5.0,0.0
current:vio_1v8:tl,420000,429999,-939.0,490.0
power:vio_1v8:tl,420000,429999,-1.0,2.0
current:3.3v:tl,420000,429999,-574.0,468.0
voltage:3.3v:tl,420000,429999,25.0,33.0
power:tot:tl,420000,429999,-18.0,13.0
power:3.3v:tl,420000,429999,-18.0,13.0
voltage:vio_1v8:tl,430000,439999,-5.0,0.0
current:vio_1v8:tl,430000,439999,-1023.0,470.0
power:vio_1v8:tl,430000,439999,-1.0,2.0
current:3.3v:tl,430000,439999,-551.0,478.0
voltage:3.3v:tl,430000,439999,27.0,34.0
power:tot:tl,430000,439999,-17.0,14.0
power:3.3v:tl,430000,439999,-17.0,13.0
voltage:vio_1v8:tl,440000,449999,-5.0,0.0
current:vio_1v8:tl,440000,449999,-1003.0,527.0
power:vio_1v8:tl,440000,449999,-1.0,2.0
current:3.3v:tl,440000,449999,-581.0,455.0
voltage:3.3v:tl,440000,449999,27.0,34.0
power:tot:tl,440000,449999,-18.0,14.0
power:3.3v:tl,440000,449999,-18.0,13.0
voltage:vio_1v8:tl,450000,459999,-5.0,0.0
current:vio_1v8:tl,450000,459999,-1029.0,486.0
power:vio_1v8:tl,450000,459999,-1.0,2.0
current:3.3v:tl,450000,459999,-548.0,439.0
voltage:3.3v:tl,450000,459999,29.0,34.0
power:tot:tl,450000,459999,-18.0,13.0
power:3.3v:tl,450000,459999,-18.0,13.0
voltage:vio_1v8:tl,460000,469999,-5.0,0.0
current:vio_1v8:tl,460000,469999,-1033.0,469.0
power:vio_1v8:tl,460000,469999,-1.0,3.0
current:3.3v:tl,460000,469999,-557.0,439.0
voltage:3.3v:tl,460000,469999,29.0,36.0
power:tot:tl,460000,469999,-18.0,14.0
power:3.3v:tl,460000,469999,-18.0,13.0
voltage:vio_1v8:tl,470000,479999,-5.0,0.0
current:vio_1v8:tl,470000,479999,-977.0,510.0
power:vio_1v8:tl,470000,479999,-1.0,2.0
current:3.3v:tl,470000,479999,-555.0,444.0
voltage:3.3v:tl,470000,479999,29.0,37.0
power:tot:tl,470000,479999,-18.0,15.0
power:3.3v:tl,470000,479999,-18.0,15.0
